dtc_molregno,chembl_id,compound_name,standard_inchi_key,bioactivities
DTCC00424656,CHEMBL210833,,FSPQCTGGIANIJZ-UHFFFAOYSA-N,440
DTCC00234178,CHEMBL80713,,NQVIIUBWMBHLOZ-UHFFFAOYSA-N,440
DTCC00424968,CHEMBL379787,,QTCFYQHZJIIHBS-UHFFFAOYSA-N,440
DTCC00233786,CHEMBL306498,ALOISINE,WVMANZPBOBRWCB-UHFFFAOYSA-N,440
DTCC00147888,CHEMBL278041,SB-202190,QHKYPYXTTXKZST-UHFFFAOYSA-N,440
DTCC00147970,CHEMBL17331,PD-169316,BGIYKDUASORTBB-UHFFFAOYSA-N,440
DTCC00435907,CHEMBL383899,ANILINOPYRIMIDINE1,RDTDWGQDFJPTPD-UHFFFAOYSA-N,440
DTCC00435909,CHEMBL387187,,YOHYSYJDKVYCJI-UHFFFAOYSA-N,440
DTCC01740437,CHEMBL56543,AG-490,TUCIOBMMDDOEMM-RIYZIHGNSA-N,440
DTCC00232750,CHEMBL75680,ALOISINE A,PRIGRJPRGZCFAS-UHFFFAOYSA-N,440
DTCC00148173,CHEMBL278724,SB-202474,MYKGURNPAUBQLJ-UHFFFAOYSA-N,440
DTCC01741161,CHEMBL76589,TYRPHOSTIN AG-112,DXVJRTIPBNBLLB-BJMVGYQFSA-N,440
DTCC00134595,CHEMBL7917,TYRPHOSTIN AG-1478,GFNNBHLJANVSQV-UHFFFAOYSA-N,440
DTCC01740216,CHEMBL53753,PD-158780,KFHMLBXBRCITHF-UHFFFAOYSA-N,440
DTCC00396455,CHEMBL191003,JNJ-7706621,KDKUVYLMPJIGKA-UHFFFAOYSA-N,440
DTCC00257794,CHEMBL92461,,HBWLNACPIFKNIP-UHFFFAOYSA-N,440
DTCC00232557,CHEMBL77456,TYRPHOSTIN 1,UOHFCPXBKJPCAD-UHFFFAOYSA-N,440
DTCC00001004,CHEMBL191384,AS-601245,AVLYNJZZQYEFEA-XDJHFCHBSA-N,440
DTCC00440440,CHEMBL413188,ISOGRANULATIMIDE,WXUJAQBSBZLVEV-UHFFFAOYSA-N,440
DTCC00152584,CHEMBL21156,,VNDWQCSOSCCWIP-UHFFFAOYSA-N,440
DTCC00441428,CHEMBL221271,,RODAAYVFYDKHGT-AUWJEWJLSA-N,440
DTCC01740871,CHEMBL71191,AG-1296,QNOXYUNHIGOWNY-UHFFFAOYSA-N,440
DTCC00261586,CHEMBL97771,,DMWVGXGXHPOEPT-UHFFFAOYSA-N,440
DTCC00443914,CHEMBL222102,KU-55933,XRKYMMUGXMWDAO-UHFFFAOYSA-N,440
DTCC00262208,CHEMBL98350,LY-294002,CZQHHVNHHHRRDU-UHFFFAOYSA-N,440
DTCC00123550,CHEMBL573339,PI-103,TUVCWJQQGGETHL-UHFFFAOYSA-N,440
DTCC00104871,CHEMBL296586,KENPAULLONE,QQUXFYAWXPMDOE-UHFFFAOYSA-N,440
DTCC00388991,CHEMBL366266,,KIWODJBCHRADND-UHFFFAOYSA-N,440
DTCC00268914,CHEMBL101683,,GGPZCOONYBPZEW-UHFFFAOYSA-N,440
DTCC00270866,CHEMBL102346,,INTPTKHSGKBHHW-UHFFFAOYSA-N,440
DTCC01741745,CHEMBL313417,SK&F-86002,YOELZIQOLWZLQC-UHFFFAOYSA-N,440
DTCC00002824,CHEMBL226838,SB-505124,WGZOTBUYUFBEPZ-UHFFFAOYSA-N,440
DTCC00802941,CHEMBL1398474,,GYBXAGDWMCJZJK-UHFFFAOYSA-N,440
DTCC00275099,CHEMBL104279,,MLKHXLFEYOOYEY-NVNXTCNLSA-N,440
DTCC00004111,CHEMBL261454,HTS-466284,IBCXZJCWDGCXQT-UHFFFAOYSA-N,440
DTCC00188968,CHEMBL47940,,FMETVQKSDIOGPX-UHFFFAOYSA-N,440
DTCC00032843,CHEMBL1363184,LY-303511,NGAGMBNBKCDCDJ-UHFFFAOYSA-N,440
DTCC00004220,CHEMBL258721,RGB-286147,RSQPNXBTPUXMQN-UHFFFAOYSA-N,440
DTCC00109361,CHEMBL359482,,JYCUVOXSZBECAY-UHFFFAOYSA-N,440
DTCC00378506,CHEMBL179583,,UXGJAOIJSROTTN-UHFFFAOYSA-N,440
DTCC00000870,CHEMBL188762,PD-174265,WUPUZEMRHDROEO-UHFFFAOYSA-N,440
DTCC00031595,CHEMBL1186409,GNF-PF-254,OTHITMYLBRCVIT-UHFFFAOYSA-N,440
DTCC00004221,CHEMBL439259,TCMDC-125497,YBLWOZUPHDKFOT-UHFFFAOYSA-N,440
DTCC00004234,CHEMBL405759,TWS-119,VPVLEBIVXZSOMQ-UHFFFAOYSA-N,440
DTCC00004242,CHEMBL259850,AR-A014418,YAEMHJKFIIIULI-UHFFFAOYSA-N,440
DTCC00372356,CHEMBL367625,,UTBSBSOBZHXMHI-LSDHHAIUSA-N,440
DTCC00372220,CHEMBL174426,,YAMAGACQNDAKFB-UHFFFAOYSA-N,440
DTCC00004245,CHEMBL406375,GTP-14564,DZQLVVLATXPWBK-UHFFFAOYSA-N,440
DTCC00690629,CHEMBL1221601,,HLCDNLNLQNYZTK-UHFFFAOYSA-N,440
DTCC00004247,CHEMBL259551,FR-180204,XVECMUKVOMUNLE-UHFFFAOYSA-N,440
DTCC00464725,CHEMBL233001,GW620972X,WQGDQGAFSDMBLA-UHFFFAOYSA-N,440
DTCC00466699,CHEMBL235641,,VFBGXTUGODTSPK-BAQGIRSFSA-N,440
DTCC00694067,CHEMBL1231533,,SRLVNYDXMUGOFI-YWEYNIOJSA-N,440
DTCC00293192,CHEMBL331237,TRICIRIBINE,HOGVTUZUJGHKPL-HTVVRFAVSA-N,440
DTCC00467620,CHEMBL235658,,ODYAQBDIXCVKAE-UHFFFAOYSA-N,440
DTCC00004276,CHEMBL261491,GO-6893,LLJJDLHGZUOMQP-UHFFFAOYSA-N,440
DTCC00507236,CHEMBL479533,HERBIMYCIN,MCAHMSDENAOJFZ-GDYSMBPZSA-N,440
DTCC00133650,CHEMBL7724,AG1295,FQNCLVJEQCJWSU-UHFFFAOYSA-N,440
DTCC00143531,CHEMBL274064,SB-220025,VSPFURGQAYMVAN-UHFFFAOYSA-N,440
DTCC01743766,CHEMBL155333,KN-93,LLLQTDSSHZREGW-AATRIKPKSA-N,440
DTCC01742071,CHEMBL104468,LY-293646,KKTZALUTXUZPSN-UHFFFAOYSA-N,440
DTCC00215246,CHEMBL65063,,KKDPIZPUTYIBFX-UHFFFAOYSA-N,440
DTCC01742038,CHEMBL104264,H-89,ZKZXNDJNWUTGDK-NSCUHMNNSA-N,440
DTCC00142966,CHEMBL276711,SEMAXANIB,WUWDLXZGHZSWQZ-WQLSENKSSA-N,440
DTCC00142916,CHEMBL13485,SU-11652,XPLJEFSRINKZLC-ATVHPVEESA-N,440
DTCC00211094,CHEMBL64758,,NMFKDDRQSNVETB-UHFFFAOYSA-N,440
DTCC00029956,CHEMBL605003,SU-6656,LOGJQOUIVKBFGH-YBEGLDIGSA-N,440
DTCC01739625,CHEMBL35482,PD-98059,QFWCYNPOPKQOKV-UHFFFAOYSA-N,440
DTCC01742268,CHEMBL111364,ML-3403,VXPWQNBKEIVYIS-UHFFFAOYSA-N,440
DTCC00503493,CHEMBL272629,,ZDEJZKULWCZIHL-UHFFFAOYSA-N,440
DTCC00740910,CHEMBL1331734,,KFAKESMKRPNZTM-UHFFFAOYSA-N,440
DTCC00029833,CHEMBL596380,"3,4-METHYLENEDIOXYB-NITROSTYRENE",KFLWBZPSJQPRDD-ONEGZZNKSA-N,440
DTCC00023952,CHEMBL599894,GNF-PF-3800,DPANHMGWPXVBQI-UHFFFAOYSA-N,440
DTCC00495192,CHEMBL261849,GW632580X,MYQAUKPBNJWPIE-UHFFFAOYSA-N,440
DTCC00495156,CHEMBL410456,,DPDZHVCKYBCJHW-UHFFFAOYSA-N,440
DTCC00495000,CHEMBL408982,,BGVLELSCIHASRV-QPEQYQDCSA-N,440
DTCC00494999,CHEMBL258805,INDIRUBIN SULFATE,QNUKRWAIZMBVCU-WCIBSUBMSA-N,440
DTCC00161337,CHEMBL281948,K-252A,KOZFSFOOLUUIGY-SOLYNIJKSA-N,440
DTCC00494843,CHEMBL261131,DIACYLGLYCEROL KINASE INHIBITOR II,ZCNBZFRECRPCKU-UHFFFAOYSA-N,440
DTCC00494831,CHEMBL259389,QUINOXALINE1,DWHVZCLBMTZRQM-UHFFFAOYSA-N,440
DTCC00494807,CHEMBL404941,,JBJYTZXCZDNOJW-RAXLEYEMSA-N,440
DTCC00494738,CHEMBL404939,,GYQSWJNGTWVFOL-UHFFFAOYSA-N,440
DTCC00494734,CHEMBL261425,,QJKBRWSJWQVKLY-UKTHLTGXSA-N,440
DTCC00494689,CHEMBL261720,,ARIOBGGRZJITQX-UHFFFAOYSA-N,440
DTCC00494092,CHEMBL409450,6BIO,DDLZLOKCJHBUHD-WAVHTBQISA-N,440
DTCC01740662,CHEMBL304428,SB-218078,OTPNDVKVEAIXTI-UHFFFAOYSA-N,440
DTCC00493272,CHEMBL258844,,BIWGYFZAEWGBAL-UHFFFAOYSA-N,440
DTCC00727615,CHEMBL1317546,,YHKSBKQXCWHTQL-UHFFFAOYSA-N,440
DTCC00141553,CHEMBL13045,CHELERYTHRINE,LLEJIEBFSOEYIV-UHFFFAOYSA-N,440
DTCC00709393,CHEMBL1289494,TIVOZANIB,SPMVMDHWKHCIDT-UHFFFAOYSA-N,440
DTCC00008478,CHEMBL478980,AM-A37,FALILNHGILFDLC-UHFFFAOYSA-N,440
DTCC00005641,CHEMBL473773,WHI-P154,CBIAKDAYHRWZCU-UHFFFAOYSA-N,440
DTCC00004549,CHEMBL270724,"3-(2,3,4,5-TETRABROMOPHENYL)ACRYLIC ACID",SVJQCVOKYJWUBC-OWOJBTEDSA-N,440
DTCC00004459,CHEMBL403183,BAY-11-7082,DOEWDSDBFRHVAP-KRXBUXKQSA-N,440
DTCC00112789,CHEMBL260138,ALSTERPAULLONE 2,UBLFSMURWWWWMH-UHFFFAOYSA-N,440
DTCC00112527,CHEMBL257167,,SAYGKHKXGCPTLX-UHFFFAOYSA-N,440
DTCC00158267,CHEMBL284861,,JDSJDASOXWCHPN-UHFFFAOYSA-N,440
DTCC00158149,CHEMBL286721,AMINOPURVALANOL,RAMROQQYRRQPDL-HNNXBMFYSA-N,440
DTCC00306414,CHEMBL126077,INDIRUBIN-3-MONOXIME,FQCPPVRJPILDIK-UHFFFAOYSA-N,440
DTCC00157974,CHEMBL23327,PURVALANOLA,PMXCMJLOPOFPBT-HNNXBMFYSA-N,440
DTCC00615739,CHEMBL603469,LESTAURTINIB,UIARLYUEJFELEN-LROUJFHJSA-N,431
DTCC00695829,CHEMBL1241674,,MFAQYJIYDMLAIM-UHFFFAOYSA-N,427
DTCC00509262,CHEMBL509032,TAE-684,QQWUGDVOUVUTOY-UHFFFAOYSA-N,425
DTCC00159858,CHEMBL24828,VANDETANIB,UHTHHESEBZOYNR-UHFFFAOYSA-N,424
DTCC00707889,CHEMBL1287853,FEDRATINIB,JOOXLOJCABQBSG-UHFFFAOYSA-N,423
DTCC00435238,CHEMBL1421,DASATINIB,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,419
DTCC00123548,CHEMBL574738,AST-487,ODPGGGTTYSGTGO-UHFFFAOYSA-N,418
DTCC00001978,CHEMBL386051,PD-0173955,VAARYSWULJUGST-UHFFFAOYSA-N,417
DTCC00361295,CHEMBL1336,SORAFENIB,MLDQJTXFUGDVEO-UHFFFAOYSA-N,416
DTCC01156880,CHEMBL1908397,KW-2449,YYLKKYCXAOBSRM-JXMROGBWSA-N,415
DTCC00624965,CHEMBL608533,MIDOSTAURIN,BMGQWWVMWDBQGC-IIFHNQTCSA-N,415
DTCC00520525,CHEMBL475251,TAMATINIB,NHHQJBCNYHBUSI-UHFFFAOYSA-N,415
DTCC01056083,CHEMBL1721885,SU-014813,CTNPALGJUAXMMC-PMFHANACSA-N,415
DTCC00548235,CHEMBL522892,DOVITINIB,PIQCTGMSNWUMAF-UHFFFAOYSA-N,414
DTCC01738571,CHEMBL939,GEFITINIB,XGALLCVXEZPNRQ-UHFFFAOYSA-N,413
DTCC00104622,CHEMBL288441,BOSUTINIB,UBPYILGKFZZVDX-UHFFFAOYSA-N,413
DTCC00144492,CHEMBL553,ERLOTINIB,AAKJLRGGTJKAMG-UHFFFAOYSA-N,406
DTCC00500244,CHEMBL572878,TOZASERTIB,GCIKSSRWRFVXBI-UHFFFAOYSA-N,405
DTCC00509238,CHEMBL450786,PHA-665752,OYONTEXKYJZFHA-SSHUPFPWSA-N,404
DTCC00435938,CHEMBL215152,AZD-1152-HQPA,QYZOGCMHVIGURT-UHFFFAOYSA-N,403
DTCC00517472,CHEMBL491473,CEDIRANIB,XXJWYDDUDKYVKI-UHFFFAOYSA-N,401
DTCC00709819,CHEMBL1289926,AXITINIB,RITAVMQDGBJQJZ-FMIVXFBMSA-N,401
DTCC00144120,CHEMBL428690,ALVOCIDIB,BIIVYFLTOXDAOV-YVEFUNNKSA-N,399
DTCC00166642,CHEMBL31965,CANERTINIB,OMZCMEYTWSXEPZ-UHFFFAOYSA-N,399
