compound_id,standard_inchi_key,compound_name,bioactivities
CHEMBL1331734,KFAKESMKRPNZTM-UHFFFAOYSA-N,GSK-3 INHIBITOR XIII,725
CHEMBL261491,LLJJDLHGZUOMQP-UHFFFAOYSA-N,,725
CHEMBL86943,PMUJUSJUVIXDQC-LCYFTJDESA-N,VEGFR2 KINASE INHIBITOR I,725
CHEMBL221271,RODAAYVFYDKHGT-AUWJEWJLSA-N,AG-L-65527,725
CHEMBL1317546,YHKSBKQXCWHTQL-UHFFFAOYSA-N,DNA-PK INHIBITOR III,725
CHEMBL261131,ZCNBZFRECRPCKU-UHFFFAOYSA-N,DIACYLGLYCEROL KINASE INHIBITOR II,725
CHEMBL2218927,ZGDACLBJJXLKJY-UHFFFAOYSA-N,AGL2043,725
CHEMBL259389,DWHVZCLBMTZRQM-UHFFFAOYSA-N,CDK1/5 INHIBITOR,724
CHEMBL210833,FSPQCTGGIANIJZ-UHFFFAOYSA-N,ST078197,724
CHEMBL104468,KKTZALUTXUZPSN-UHFFFAOYSA-N,LY293646,724
CHEMBL479533,MCAHMSDENAOJFZ-GDYSMBPZSA-N,HERBIMYCIN,724
CHEMBL258805,QNUKRWAIZMBVCU-WCIBSUBMSA-N,INDIRUBIN SULFATE,724
CHEMBL328710,UAKWLVYMKBWHMX-PTNGSMBKSA-N,SU4312,724
CHEMBL602937,WYQIPCUPNMRAKP-UHFFFAOYSA-O,FASCAPLYSIN,724
CHEMBL1802728,XHEQSRJCJTWWAH-UHFFFAOYSA-N,NU6140,724
CHEMBL478980,FALILNHGILFDLC-UHFFFAOYSA-N,AMA37,723
CHEMBL260138,UBLFSMURWWWWMH-UHFFFAOYSA-N,ALSTERPAULLONE; 2-CYANOETHYL,723
CHEMBL174426,YAMAGACQNDAKFB-UHFFFAOYSA-N,BPIQ-I,723
CHEMBL387187,YOHYSYJDKVYCJI-UHFFFAOYSA-N,EGFR INHIBITOR-324674,723
CHEMBL272629,ZDEJZKULWCZIHL-UHFFFAOYSA-N,GSK-3B INHIBITOR XI,723
CHEMBL288064,ZRHRPGSSSVYBRG-UHFFFAOYSA-N,GSK-3B INHIBITOR II,723
